Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,W,C,Mg,Zn,Si,Re,N,Sc,Li,Sn,Be,Num_of_Elem,Density_calc,dHmix,dSmix,dGmix,Tm,n.Para,Atom.Size.Diff,Elect.Diff,VEC,Sythesis_Route,Homogenization_Temp,Homogenization_Time,Annealing_Time_(min),Phases
0.0,0.0,0.294117647,0.294117647,0.0,0.0,0.0,0.0,0.294117647,0.0,0.0,0.0,0.0,0.058823529,0.058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.666826103,-5.148788927,11.74934157,530.1557462,2029.318885,5.254146899,4.168428293,0.183776229,6.235294118,1,1200.0,120.0,1500.0,1
0.0,0.0,0.263157895,0.263157895,0.0,0.0,0.0,0.0,0.263157895,0.0,0.0,0.0,0.0,0.105263158,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.888782982,-5.628808864,12.70370305,578.667977,2223.134223,5.633883519,4.820751784,0.230952502,6.157894737,1,1200.0,120.0,1500.0,3
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.07,-4.78,14.9,420.623371,1629.71,5.08,4.82,0.12,7.83,1,1200.0,120.0,300.0,4
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.07,-4.78,14.9,420.623371,1629.71,5.08,4.82,0.12,7.83,1,1200.0,120.0,300.0,4
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.07,-4.78,14.9,420.623371,1629.71,5.08,4.82,0.12,7.83,1,1200.0,120.0,300.0,4
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.07,-4.78,14.9,420.623371,1629.71,5.08,4.82,0.12,7.83,1,1200.0,120.0,300.0,4
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.07,-4.78,14.9,420.623371,1629.71,5.08,4.82,0.12,7.83,1,1200.0,120.0,300.0,4
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.07,-4.78,14.9,420.623371,1629.71,5.08,4.82,0.12,7.83,1,1200.0,120.0,300.0,4
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.07,-4.78,14.9,420.623371,1629.71,5.08,4.82,0.12,7.83,1,1200.0,120.0,300.0,4
0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.72,-12.32,13.38,437.2111258,1684.09,1.83,5.25,0.12,7.2,1,1100.0,60.0,3000.0,3
